Term (Spanish),Term (English),Agency,Submitted By,Abbr / Acronym - Spanish,Abbr / Acronym - English,Topic,Subtopic,Definition - Spanish,Definition - English,Notes - Spanish,Notes - English,Plain Language - Spanish,Plain language - English,Related entry - English,Preferred use - Spanish,Anglicism,Forbidden term,Context - Spanish,Region - Spanish,Gr. Gender,Gr. Number,Part of speech - Spanish,Variants - Spanish,Source - Spanish
falta de aliento,shortness of breath,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
falta de sueño,loss of sleep,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
faltar,fail,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
familia,family ,FDA,FDA,,,Health,Food MPM,,"An artificial taxon ranking between genus and order, and composed of one or more genera.",,,,,,,,,,,,,,,
familiar,relative,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
farmacéutico,pharmacist,FDA,FDA,,,Health,Veterinarian,,a medical professional who works in a pharmacy to fill prescriptions from a doctor or veterinarian for a person or animal.,,,,,,,,,,,,,,,
fármaco,"agent,drug,medication","NIH,NIA","NIH, NIA",,,"Health,Health,Health",Drugs,,"""A drug is defined as:

A substance recognized by an official pharmacopoeia or formulary.
A substance intended for use in the diagnosis, cure, mitigation, treatment, or prevention of disease.
A substance (other than food) intended to affect the structure or any function of the body.
A substance intended for use as a component of a medicine but not a device or a component, part or accessory of a device.
Biological products are included within this definition and are generally covered by the same laws and regulations, but differences exist regarding their manufacturing processes (chemical process versus biological process.)
""",,,,,,Primary,,,,,,,,,
farmacocinética,pharmacokinetics,NIH,"FDA, NIH",PK,PK,Health,,,,,,,,,,,,,,,,,,
farmacocinético,pharmacokinetic,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
farmacodinámica,pharmacodynamics,NIH,"FDA, NIH",PD,PD,Health,,"La farmacogenómica (también llamada farmacogenética) es un componente de la genómica que implica el uso de la información genómica de un paciente para personalizar la selección de los fármacos utilizados en su tratamiento médico. De esta manera, la farmacogenómica apunta a brindar un enfoque más individualizado (o preciso) al uso de los medicamentos disponibles para tratar a los pacientes.",,,,,,,,,,,,Feminine,,,,"NHGRI 
https://www.genome.gov/es/genetics-glossary/Farmacogenomica"
farmacodinámico,pharmacodynamic,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
farmacopea de los Estados Unidos,United States Pharmacopeia,CDC,CDC,,USP,Health,,,,,,,,,,,,,,,,,,
fármacos antirreumáticos modificadores de la enfermedad,"disease-modifying antirheumatic drugs,DMARD",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
fasciolopsiasis,fasciolopsiasis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fasciolosis,fascioliasis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fascitis necrosante,necrotizing fasciitis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fatiga,fatigue,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
favorable,better,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
febuxostat,febuxostat,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fecha de acción de la fda,fda action date ,FDA,FDA,,,Health,Drugs,,"The action date tells when an FDA regulatory action, such as an original or supplemental approval, took place.",,,,,,,,,,,,,,,
fecha de exención,grandfather date,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
fecundación,fertilization,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Federación Nacional de Productores de Leche,National Milk Producers Federation ,CDC,"FDA, CDC",NMPF,NMPF,Health,,,,,,,,,,,,,,,,,,
femtogramo,femtogram,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fenantreno,phenanthrene,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fenilcetonuria,phenylketonuria,CDC,"FDA, CDC",PKU,PKU,Health,,,,,,,,,,,,,,,,,,
fenitrotión,fenitrothion,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fenotiacina,phenothiazine,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fentanilo,fentanyl,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fentión,fenthion,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fermentación,fermentation ,FDA,FDA,,,Health,Food MPM,,"The transformation of carbohydrate material that yields such products as alcohols, acids, and carbon dioxide and typically involves decomposition without participation of oxygen. Fruits sour when damaged by fermentation.",,,,,,,,,,,,,,,
feroz,wild,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
ferry,,CDC,CDC,,,,,,,,,,,,,,,,,,,,,
fiable,consistent,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
fibrilación auricular,atrial fibrillation,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fibrinógeno,fibrinogen,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fibroma uterino (mioma uterino),fibroids,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fibrosis quística,cystic fibrosis,CDC,"CDC, FDA",,CF,Health,,,,,,,,,,,,,,,,,,
fidaxomicina,fidaxomicin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fiebre,temperature,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
fiebre de Lassa,Lassa fever,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fiebre del valle,valley fever,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fiebre del valle de San Joaquín (fiebre del valle),valley fever,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fiebre faringoconjuntival,pharyngoconjunctivial fever,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fiebre manchada de las Montañas Rocosas,Rocky Mountain spotted fever,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fiebre por garrapatas de Colorado,Colorado tick fever,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fiebre por mordedura de rata,rat-bite fever,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fiebre por mordedura de rata espirilar,spirillary rat bite fever,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fiebre Q,Q fever,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fiebre recurrente transmitida por garrapatas,tick-borne relapsing fever,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fijador,fixative,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
filamentoso,filamentous,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
filariosis,filariasis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
filovirus,filoviruses,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
filtración,leakage,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
filtro para análisis gravimétrico,gravimetric filter,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
finalmente,ultimately,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
finca,farm,FDA,FDA,,,Health,Food Industry,,,,*Codex Term; Finca/Granja/Unidad de Producción,,,,,,,,,,,,,
fincas acuícolas,aquaculture farms,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
finito,finite,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
fístula arteriovenosa,arterial/venous fistula,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
fisuras palpebrales inclinadas hacia abajo,down-slanting palpebral fissures,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fitoestrógeno,phytoestrogen,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fletán (Halibut en inglés),Halibut,USDA-FNS,USDA-FNS,,,Health,,,,,Industry,,,,,,,,,,,,,
florfenicol,florfenicol,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
flucitosina,flucytosine,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fluconazol,fluconazole,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
flujo,drainage,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
fluoración,fluoridation,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fluoranteno,fluoranthene,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fluoreno,fluorene,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fluoroquinolona,fluoroquinolone,CDC,"CDC, FDA",,"FLQ, FQ",Health,,,,,,,,,,,,,,,,,,
fluoruro,fluoride,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fluoxetina,fluoxetine,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
foco epiléptico,seizure focus,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
focomelia típica,typical phocomelia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fómite,fomite,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Fondo de Apoyo para Proveedores de Servicios de Salud,Provider Relief Fund ,HRSA,HRSA,,PRF,,,,,,,,,,,,,,,,,,,
Fondo de asistencia para coberturas,Coverage Assistance Fund ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
Fondos Federales,Federal Awards ,USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
foramen incisivo,incisor foramen,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
forato,phorate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
forma farmacéutica,dosage form ,FDA,FDA,,,Health,Drugs,,"A dosage form is the physical form in which a drug is produced and dispensed, such as a tablet, a capsule, or an injectable.",,,,,,,,,,,,,,,
formarse,develop,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
formas deficientes de pared celular,cell wall-deficient forms,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fórmula magistral,compunduing,FDA,FDA,,,Health,Drugs,,,,,,,,,,,,,,,,,
fórmula para bebés,infant formula,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fórmula para bebés lista para usar,"ready-to-feed infant formula,RTF infant formula",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
formulario,form,"NIA,FDA","NIA, FDA",,,Health,Food Industry,,,,,,,,,,,,,,,Noun,,
Formulario 5A: servicios provistos,Form 5A: Services Provided,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
Formulario 5B: centros de servicio,Form 5B: Service Sites,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
Formulario 5C: actividades adicionales/localidades,Form 5C: Other Activities/Locations,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
formulario de notificación,reporting form,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
forona,phorone,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fortuito,"incidental,random",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
fortunado,successful,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
fosfato de cloroquina,chloroquine phosphate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fosfato de sodio dibásico dihidratado,dibasic sodium phosphate dihydrate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fosfenitoína,fosphenytoin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fosfina,phosphine,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fosfomicina,fosfomycin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fosmet,phosmet,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fracasar,fail,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
fracción de acortamiento (FS),shortening fraction ,NIH,NIH,,SF,Health,,,,,,,,,,,,,,,,,,
fracción de expulsión,ejection fraction ,NIH,NIH,,EF,Health,,,,,,,,,,,,,,,,,,
fracción de eyección (FE),ejection fraction ,NIH,NIH,,EF,Health,,,,,,,,,,,,,,,,,,
fracción de óxido nítrico exhalado (FeNO),fractional exhaled nitric oxide ,NIH,NIH,,FeNO,Health,,,,,,,,,,,,,,,,,,
fractura hidráulica,hydraulic fracturing,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
frambuesa,raspberries,FDA,FDA,,,Health,Food Names,,,,,,,,,,,,,,,,,
frecuencia,"prevalence,rate",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
frecuencia cardiaca (HR),heart rate ,CDC,"FDA, CDC",,HR,Health,,,,,,,,,,,,,,,,,,
frecuencia respiratoria,breathing rate,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
frecuencia respiratoria (FR),respiratory rate,NIH,NIH,,RR,Health,,,,,,,,,,,,,,,,,,
frecuente,extensive,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
fregadero,"kitchen sink,sink",CDC,CDC,,,"Health,Health",,,,,,,,,,,,,,,,,,
fresas,strawberries,FDA,FDA,,,Health,Food Names,,,,"frutilla, fraga",,,,,,,,,,,,,
frijoles,beans,"USDA-FNS,FDA",USDA-FNS,,,Health,Food Names,,,,in Panamá porotos (a type of beans),,,,,,,,,,,,,
Frijoles carita,Black-eyes peas,USDA-FNS,USDA-FNS,,,Health,,,,,Most common term used in the market,,,,,,,,,,,,,
Frijoles cocinados,Baked beans,USDA-FNS,USDA-FNS,,,Health,,,,,"""Based on the definition: should we consider frijoles guisados al horno or cocidos al horno? 
https://www.merriam-webster.com/dictionary/baked%20beans""",,,,,,,,,,,,,
frontotemporal,fronto-temporal,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fructífero,successful,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
frustrarse,fail,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
frutas y hortalizas frescas*,fresh fruits and vegetables,FDA,FDA,,,Health,Food Industry,,,,*Codex Term; frutas y vegetales frescos,,,,,,,,,,,,,
frutos rojos,berry / berries,FDA,FDA,,,Health,Food Names,,,,berries (MX); el berry (Chile and Peru),,,,,,,,,,,,,
ftalato,phthalate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ftalato de benzilbutilo,benzylbutyl phthalate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ftalato de di-isononilo,di-isononyl phthalate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ftalato de diciclohexilo,dicyclohexyl phthalate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ftalato de dietilo,diethyl phthalate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ftalato de dimetilo,dimethyl phthalate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ftalato de dioctilo,di-n-octyl phthalate,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ftalatos de dibutilo,dibutyl phthalates,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ftiriasis,phthiriasis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fuerte,severe,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
fuerza centrífuga relativa,relative centrifugal force,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fumador consuetudinario,heavy smoker,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
fumador empedernido,heavy smoker,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
fumador pasivo,second-hand smoke,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
función,role,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
Función cognitiva,Cognitive function,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
funcionalidad,function,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
funcionamiento,function,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
funcionario forense,coroner,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
funcionario médico,Medical Officer,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
"funcionarios federales, estatales y locales","""federal, state & local officials""",FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
Fundación de Defectos de Nacimiento March of Dimes,March of Dimes Birth Defects Foundation,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Fundación del Corazón de los Niños,Children´s Heart Foundation,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Fundación Nacional de Hemofilia,National Hemophilia Foundation,CDC,"CDC, FDA",,NHF,Health,,,,,,,,,,,,,,,,,,
fundamental,critical,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
fundamentalmente,ultimately,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
fundamento,basis,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
fungemia,fungemia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
fúngico,fungal,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
furatiocarb,furathiocarb,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Futuros Brillantes,Bright Futures ,HRSA,HRSA,,,,,,,,,,,,,,,,,,,,,
galactomanano,galactomannan,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
gama,range,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
ganadería,animal agriculture,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ganglio linfático,lymph node,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
ganglionar,nodular|nodal,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
ganglios basales,basal ganglia,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
ganglios linfáticos,lymph nodes,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Garantía de calidad/mejoramiento de calidad,Quality Assurance/Quality Improvement,HRSA-BPHC,HRSA-BPHC,,QI/QA,,,,,,,,,,,,,,,,,,,
garantías por escrito,written assurances,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
garbanzo,chickpeas,FDA,FDA,,,Health,Food Names,,,,,,,,,,,,,,,,,
garrapata blanda,soft tick,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
gas cloro,chlorine gas,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
gasometría arterial,arterial blood gas,CDC,CDC,GA,ABG,Health,,,,,,,,,,,,,,,,,,
gastroenterológico,gastrointestinal,"NIH,NIA","NIH, NIA",,GI,Health,,,,,,,,,,,,,,,,,,
gastrointestinal,gastrointestinal,"NIH,NIA","NIH, FDA, NIA",,GI,Health,,,,,,,,,,,,,,,,,,
gastroparesia,gastroparesis,"CDC,NIA","CDC, NIA",,,Health,,,,,,,,,,,,,,,,,,
gastrosquisis,gastroschisis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
gel de nicotina,nicotine gel,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
Gen de la Apo E,Apolipoprotein E gene,NIA,NIA,,APOE,Health,,,,,,,,,Alternative,,,informal,,,,,,
gen de la apolipoproteína E,Apolipoprotein E gene,NIA,NIA,,APOE,Health,,,,,,,,,Primary,,,,,,,,,
gen FMR1,FMR1 gene,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
general,"comprehensive,extensive","NIH,NIA","NIH, NIA",,,"Health,Health",,,,,,,,,,,,,,,,,,
Generalmente Considerados Seguros,Generally Recognized as Safe,FDA,FDA,,GRAS,Health,Food Industry,,,,,,,,,,,,,,,,,
género,"genus,sex,genus ",CDC,CDC,,,"Health,Health,Health",Food MPM,,A taxonomic category ranking between family and species. The genus comprises a group of structurally or phylogenetically related species and is designated by a capitalized Latin noun which constitutes the first word of the technical name of a species.,,,,,,,,,,,,,,,
género no conforme,gender non-conforming,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
genética,genetics,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
genético,genetical,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
génico,"gene,genic","NIH,NIA","NIH, NIA",,,"Health,Health",,,,,,,,,,,,,,,,Adjective,,
genisteína,genistein,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
genoma,genome,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
genomanipulado,genetically engineered,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
genómico,"genome,genomic","NIH,NIA","NIH, NIA",,,"Health,Health",,,,,,,,,,,,,,,,,,
genotecnológico,genetically engineered,"NIH,NIA","NIH, NIA",,,Health,,,,,,,,,,,,,,,,,,
gentamicina,gentamicin,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
geocodificación,geocoding,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
gerente,"""management, manager (n)""",FDA,FDA,,,Health,Food Industry,,"the people who make decisions about a business, department, sports team, etc.",,,,,,,,,,,,,,,
Gestión de reclamaciones,Claims Management,HRSA-BPHC,HRSA-BPHC,,,,,,,,,,,,,,,,,,,,,
Giardia,Giardia,CDC,CDC,,,Health,,,,This term should be in italics with upper-case G.,,,,,,,,,,,,,,
giardiasis,giardiasis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ginecólogo obstetra,OB/GYN,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
ginecólogo oncólogo,gynecologic oncologist,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
glándula salival,salivary gland,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
glibenclamida,glyburide,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
glicerina,glycerin,FDA,FDA,,,Health,Tobacco,,,,,,,,,,,,,,,,,
glicoproteína,glycoprotein,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
global,comprehensive,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
glóbulo,blood cell,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
glóbulo blanco (GB),white blood cell,NIH,NIH,,WBC,Health,,,,,,,,,,,,,,,,,,
glóbulo rojo (GR),red blood cell ,NIH,NIH,,RBC,Health,,,,,,,,,,,,,,,Singular,,,
glóbulo sanguíneo,blood cell,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
glóbulos blancos,white blood cell,CDC,CDC,,WBC,Health,,,,,,,,,,,,,,,Plural,,,
glóbulos rojos,red blood cell ,CDC,"CDC, FDA",,RBC,Health,,,,,,,,,,,,,,,Plural,,,
glomerulonefritis posestreptocócica,post-streptococcal glomerulonephritis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
glosoptosis,glossoptosis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
glucemia basal alterada,impaired fasting glucose ,CDC,CDC,,IFG,Health,,,,,,,,,,,,,,,,,,
glucómetro,glucose meter,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
glutatión,glutathione,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
gnatostomiasis,gnathostomiasis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
golpe de calor,heat stroke,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
gonocócico,gonococcal,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
gorro de electrodos,electrode cap,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
goteo nasal,runny nose,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
gotita,droplet,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
grado,"extent,level",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
grado de atención,attention span,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
grado de invasión,invasiveness,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
gráfico,chart,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
gramo,gram,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
grampositivo,gram-positive,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
grande,appreciable,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
granito,granite,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
grano integral,Whole grain,USDA-FNS,USDA-FNS,,,Health,,,,,"""FNS CACFP - https://www.fns.usda.gov/tn/meal-pattern-training-worksheets-cacfp
Other CACFP - https://www.cacfp.org/files/1715/2820/8215/NCA_Quick_Reference_Guide_to_Identifying_WGR.pdf""",,,,,,,,,,,,,
granos,Grains,USDA-FNS,USDA-FNS,,,Health,,,,,USDA: https://choosemyplate-prod.azureedge.net/sites/default/files/tentips/DGTipsheet7BuildaHealthyMeal-sp_1_0.pdf,,,,,,,,,,,,,
granulocitopenia,granulocytopenia,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
granulomatosis de Wegener,Wegener’s granulomatosis,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Grasa total,Total Fat,USDA-FNS,USDA-FNS,,,Health,,,,,,,,,,,,,,,,,,
grave,"major,severe",NIH,NIH,,,"Health,Health",,,,,,,,,,,,,,,,,,
gravida (G),gravida ,NIH,NIH,,G,Health,,,,,,,,,,,,,,,,,,
gravísimo,dramatically,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
gripe,flu,"CDC,NIH,NIA","CDC, NIH, NIA",,,Health,,"La gripe, también llamada influenza, es una infección respiratoria causada por virus. ",,"Sometimes the term is used for resfriado, which is the common cold and not the flu.",,,checked,influenza A(H3N2),Primary,,,,,Feminine,Singular,,,"NIH MedlinePlus 
https://medlineplus.gov/spanish/flu.html"
gripe estomacal,stomach flu,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
gripe estomacal o gastroenteritis viral,stomach flu,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
Grupo Asesor del Proyecto,Project Advisory Group,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
grupo de apoyo para cuidadores,caregiver support group,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
grupo de control,control group,"NIH,NIA,FDA","NIH, NIA",,,Health,Drug Development,,Es el grupo de participantes que recibe el tratamiento convencional o un placebo. El grupo de control también puede estar compuesto por voluntarios sanos. Los investigadores comparan los resultados del grupo control con los del grupo experimental para encontrar cualesquier diferencias y aprender de ellas.,,,,,,,,,,,,,,,
grupo de edad,cohort,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
grupo de las fiebres manchadas,Spotted Fever Group,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
grupo de pacientes,cohort,NIA,NIA,,,Health,,,,,,,,,,,,,,,,,,
Grupo de Referencia sobre Epidemiología de la Carga de Morbilidad de Transmisión Alimentaria (FERG),Foodborne Disease Burden Epidemiology Reference Group ,CDC,CDC,,FERG,Health,,,,,,,,,,,,,,,,,,
grupo de trabajo,working group,FDA,FDA,,,Health,Food Industry,,,,,,,,,,,,,,,,,
Grupo de Trabajo sobre Servicios Preventivos de los Estados Unidos,United States Preventive Services Task Force,CDC,CDC,,USPSTF,Health,,,,,,,,,,,,,,,,,,
Grupo de Trabajo sobre Servicios Preventivos en la Comunidad,Community Preventive Services Task Force,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
grupo étnico,ethnicity,CDC,CDC,,,Health,,,,,,,,,,,,,,,,,,
grupo experimental,experimental group,FDA,FDA,,,Health,Drug Development,,Es el grupo de participantes de un estudio que recibe la intervención experimental o bajo estudio (tal como una medicación o psicoterapia).,,,,,,,,,,,,,,,
grupos paralelos,parallel Groups,NIH,NIH,,,Health,,,,,,,,,,,,,,,,,,
guandú,pigeon peas,FDA,FDA,,,Health,Food Names,,,,gandules or frijol de palo,,,,,,,,,,,,,
guía,"guidance ,guide",FDA,FDA,,,"Health,Health","Food Industry,Food Industry",,,,,,,,,,,,,,,,,
